aislado_id,metodo_extraccion,grupo_experimental,replica_biologica,concentracion_mg_ml,crecimiento_mm,porcentaje_inhibicion_hoja,extra_medicion,es_control,hoja_origen,fila_origen
H4G,maceracion,Grupo 4 - H31,1,1.0,40.0,100.0,91.35802469135803,False,MACERACIÓN,51
H4G,maceracion,Grupo 4 - H31,2,1.0,44.0,100.0,14.968340312323647,False,MACERACIÓN,52
H4G,maceracion,Grupo 4 - H31,3,1.0,40.0,74.07407407407408,,False,MACERACIÓN,53
H8G,maceracion,Grupo 4 - H32,1,1.0,24.0,100.0,100.0,False,MACERACIÓN,54
H8G,maceracion,Grupo 4 - H32,2,1.0,28.0,100.0,0.0,False,MACERACIÓN,55
H8G,maceracion,Grupo 4 - H32,3,1.0,30.0,100.0,,False,MACERACIÓN,56
H11G,maceracion,Grupo 4 - H33,1,1.0,24.0,100.0,100.0,False,MACERACIÓN,57
H11G,maceracion,Grupo 4 - H33,2,1.0,26.0,100.0,0.0,False,MACERACIÓN,58
H11G,maceracion,Grupo 4 - H33,3,1.0,28.0,100.0,,False,MACERACIÓN,59
H1N,maceracion,Grupo 2 - H10,1,1.0,40.0,68.0,62.666666666666664,False,MACERACIÓN,60
H1N,maceracion,Grupo 2 - H10,2,1.0,46.0,76.0,16.653327995729054,False,MACERACIÓN,61
H1N,maceracion,Grupo 2 - H10,3,1.0,46.0,44.0,,False,MACERACIÓN,62
H2N,maceracion,Grupo 2 - H11,1,1.0,38.0,55.55555555555556,69.1358024691358,False,MACERACIÓN,63
H2N,maceracion,Grupo 2 - H11,2,1.0,38.0,74.07407407407408,11.905741680238263,False,MACERACIÓN,64
H2N,maceracion,Grupo 2 - H11,3,1.0,42.0,77.77777777777777,,False,MACERACIÓN,65
H3N,maceracion,Grupo 2 - H12,1,1.0,38.0,100.0,100.0,False,MACERACIÓN,66
H3N,maceracion,Grupo 2 - H12,2,1.0,40.0,100.0,0.0,False,MACERACIÓN,67
H3N,maceracion,Grupo 2 - H12,3,1.0,44.0,100.0,,False,MACERACIÓN,68
H4N,maceracion,Grupo 2 - H13,1,1.0,50.0,75.86206896551724,82.75862068965517,False,MACERACIÓN,69
H4N,maceracion,Grupo 2 - H13,2,1.0,50.0,72.41379310344827,15.0306860122092,False,MACERACIÓN,70
H4N,maceracion,Grupo 2 - H13,3,1.0,48.0,100.0,,False,MACERACIÓN,71
H5N,maceracion,Grupo 2 - H14,1,1.0,,100.0,100.0,False,MACERACIÓN,72
H5N,maceracion,Grupo 2 - H14,2,1.0,,100.0,0.0,False,MACERACIÓN,73
H5N,maceracion,Grupo 2 - H14,3,1.0,,100.0,,False,MACERACIÓN,74
H6N,maceracion,Grupo 2 - H15,1,1.0,50.0,68.0,80.0,False,MACERACIÓN,75
